match_id,date,home_team,away_team,home_score,away_score,group_letter,stadium_name,city
10,2026-06-18,Canada,Qatar,6,0,B,BC Place (BC Place Vancouver),Vancouver
15,2026-06-19,Scotland,Morocco,0,1,C,Gillette Stadium (Boston Stadium),Foxborough
16,2026-06-19,Brazil,Haiti,3,0,C,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
21,2026-06-19,United States,Australia,2,0,D,Lumen Field (Seattle Stadium),Seattle
22,2026-06-19,Turkey,Paraguay,0,1,D,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
27,2026-06-20,Germany,Ivory Coast,2,1,E,BMO Field (Toronto Stadium),Toronto
28,2026-06-20,Ecuador,Curaçao,0,0,E,Arrowhead Stadium (Kansas City Stadium),Kansas City
33,2026-06-20,Netherlands,Sweden,5,1,F,NRG Stadium (Houston Stadium),Houston
34,2026-06-20,Tunisia,Japan,0,4,F,Estadio BBVA (Estadio Monterrey),Guadalupe
39,2026-06-21,Belgium,Iran,0,0,G,SoFi Stadium (Los Angeles Stadium),Inglewood
40,2026-06-21,New Zealand,Egypt,1,3,G,BC Place (BC Place Vancouver),Vancouver
45,2026-06-21,Spain,Saudi Arabia,4,0,H,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
46,2026-06-21,Uruguay,Cape Verde,2,2,H,Hard Rock Stadium (Miami Stadium),Miami Gardens
51,2026-06-22,France,Iraq,3,0,I,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
52,2026-06-22,Norway,Senegal,3,2,I,MetLife Stadium (New York New Jersey Stadium),East Rutherford
57,2026-06-22,Argentina,Austria,2,0,J,AT&T Stadium (Dallas Stadium),Arlington
58,2026-06-22,Jordan,Algeria,1,2,J,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
63,2026-06-23,Portugal,Uzbekistan,5,0,K,NRG Stadium (Houston Stadium),Houston
64,2026-06-23,Colombia,DR Congo,1,0,K,Estadio Akron (Estadio Guadalajara),Zapopan
69,2026-06-23,England,Ghana,0,0,L,Gillette Stadium (Boston Stadium),Foxborough
70,2026-06-23,Panama,Croatia,0,1,L,BMO Field (Toronto Stadium),Toronto
5,2026-06-24,Czech Republic,Mexico,0,3,A,Estadio Azteca (Mexico City Stadium),Mexico City
6,2026-06-24,South Africa,South Korea,1,0,A,Estadio BBVA (Estadio Monterrey),Guadalupe
11,2026-06-24,Switzerland,Canada,2,1,B,BC Place (BC Place Vancouver),Vancouver
12,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,B,Lumen Field (Seattle Stadium),Seattle
17,2026-06-24,Scotland,Brazil,0,3,C,Hard Rock Stadium (Miami Stadium),Miami Gardens
18,2026-06-24,Morocco,Haiti,4,2,C,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
23,2026-06-25,Turkey,United States,3,2,D,SoFi Stadium (Los Angeles Stadium),Inglewood
24,2026-06-25,Paraguay,Australia,0,0,D,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
29,2026-06-25,Curaçao,Ivory Coast,0,2,E,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
30,2026-06-25,Ecuador,Germany,2,1,E,MetLife Stadium (New York New Jersey Stadium),East Rutherford
35,2026-06-25,Japan,Sweden,1,1,F,AT&T Stadium (Dallas Stadium),Arlington
36,2026-06-25,Tunisia,Netherlands,1,3,F,Arrowhead Stadium (Kansas City Stadium),Kansas City
41,2026-06-26,Egypt,Iran,1,1,G,Lumen Field (Seattle Stadium),Seattle
42,2026-06-26,New Zealand,Belgium,1,5,G,BC Place (BC Place Vancouver),Vancouver
47,2026-06-26,Cape Verde,Saudi Arabia,0,0,H,NRG Stadium (Houston Stadium),Houston
48,2026-06-26,Uruguay,Spain,0,1,H,Estadio Akron (Estadio Guadalajara),Zapopan
53,2026-06-26,Norway,France,1,4,I,Gillette Stadium (Boston Stadium),Foxborough
54,2026-06-26,Senegal,Iraq,5,0,I,BMO Field (Toronto Stadium),Toronto
59,2026-06-27,Algeria,Austria,3,3,J,Arrowhead Stadium (Kansas City Stadium),Kansas City
60,2026-06-27,Jordan,Argentina,1,3,J,AT&T Stadium (Dallas Stadium),Arlington
65,2026-06-27,Colombia,Portugal,0,0,K,Hard Rock Stadium (Miami Stadium),Miami Gardens
66,2026-06-27,DR Congo,Uzbekistan,3,1,K,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
71,2026-06-27,Panama,England,0,2,L,MetLife Stadium (New York New Jersey Stadium),East Rutherford
72,2026-06-27,Croatia,Ghana,2,1,L,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
73,2026-06-28,South Africa,Canada,0,1,,SoFi Stadium (Los Angeles Stadium),Inglewood
74,2026-06-29,Brazil,Japan,2,1,,NRG Stadium (Houston Stadium),Houston
75,2026-06-29,Germany,Paraguay,1,1,,Gillette Stadium (Boston Stadium),Foxborough
76,2026-06-29,Netherlands,Morocco,1,1,,Estadio BBVA (Estadio Monterrey),Guadalupe
77,2026-06-30,Ivory Coast,Norway,1,2,,AT&T Stadium (Dallas Stadium),Arlington
78,2026-06-30,France,Sweden,3,0,,MetLife Stadium (New York New Jersey Stadium),East Rutherford
79,2026-06-30,Mexico,Ecuador,2,0,,Estadio Azteca (Mexico City Stadium),Mexico City
80,2026-07-01,England,DR Congo,2,1,,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
81,2026-07-01,Belgium,Senegal,3,2,,Lumen Field (Seattle Stadium),Seattle
82,2026-07-01,United States,Bosnia and Herzegovina,2,0,,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
83,2026-07-02,Spain,Austria,3,0,,SoFi Stadium (Los Angeles Stadium),Inglewood
84,2026-07-02,Portugal,Croatia,2,1,,BMO Field (Toronto Stadium),Toronto
85,2026-07-02,Switzerland,Algeria,2,0,,BC Place (BC Place Vancouver),Vancouver
86,2026-07-03,Australia,Egypt,1,1,,AT&T Stadium (Dallas Stadium),Arlington
87,2026-07-03,Argentina,Cape Verde,3,2,,Hard Rock Stadium (Miami Stadium),Miami Gardens
88,2026-07-03,Colombia,Ghana,1,0,,Arrowhead Stadium (Kansas City Stadium),Kansas City
89,2026-07-04,Canada,Morocco,0,3,,NRG Stadium (Houston Stadium),Houston
90,2026-07-04,Paraguay,France,0,1,,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
91,2026-07-05,Brazil,Norway,1,2,,MetLife Stadium (New York New Jersey Stadium),East Rutherford
92,2026-07-05,Mexico,England,2,3,,Estadio Azteca (Mexico City Stadium),Mexico City
93,2026-07-06,Portugal,Spain,0,1,,AT&T Stadium (Dallas Stadium),Arlington
94,2026-07-06,United States,Belgium,1,4,,Lumen Field (Seattle Stadium),Seattle
95,2026-07-07,Argentina,Egypt,3,2,,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
96,2026-07-07,Switzerland,Colombia,0,0,,BC Place (BC Place Vancouver),Vancouver
97,2026-07-09,France,Morocco,2,0,,Gillette Stadium (Boston Stadium),Foxborough
98,2026-07-10,Spain,Belgium,2,1,,SoFi Stadium (Los Angeles Stadium),Inglewood
99,2026-07-11,Norway,England,1,2,,Hard Rock Stadium (Miami Stadium),Miami Gardens
100,2026-07-11,Argentina,Switzerland,3,1,,Arrowhead Stadium (Kansas City Stadium),Kansas City
101,2026-07-14,France,Spain,0,2,,AT&T Stadium (Dallas Stadium),Arlington
102,2026-07-15,England,Argentina,1,2,,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
103,2026-07-18,France,England,4,6,,Hard Rock Stadium (Miami Stadium),Miami Gardens
104,2026-07-19,Spain,Argentina,1,0,,MetLife Stadium (New York New Jersey Stadium),East Rutherford
